id,source_path,source_symbol_or_feature,category,source_behavior,source_variants,source_states,source_a11y,source_theme_dependencies,target_spec,target_language_syntax,target_runtime_path,target_test_ids,target_demo,visual_evidence,status,notes
TOKENS,packages/tokens,Semantic tokens,tokens,,,,,,specs/07-first-slice.sdd,,src/theme.rs + src/components.rs::button,theme::tests + components::button_parity_tests + ui::component::w1_button_tests + parse_button_parity_demo,demos/ui-parity/button.cronus,migration/evidence/w-1/button/,FUNCTIONAL_PARITY,aurora/neutral x light/dark --cronus-* in theme.rs; midnight/sunset/emerald not yet
THEME,packages/theme,Runtime themes / modes / overrides,theme,,,,,,specs/07-first-slice.sdd,,src/theme.rs + src/components.rs::button,theme::tests + components::button_parity_tests + ui::component::w1_button_tests + parse_button_parity_demo,demos/ui-parity/button.cronus,migration/evidence/w-1/button/,FUNCTIONAL_PARITY,mode via style.theme; preset via style.config; html data-cronus-*; overrides incomplete
W0-BUTTON,packages/ui,Button,component-foundation,,"primary,secondary,outline,ghost,destructive,link / sm,md,lg,icon,icon-sm","default,disabled,focus-visible,active",native button/a; data-slot=button; focus ring,"primary,primary-foreground,primary-text,surface-*,fg,border,ring,error",specs/07-first-slice.sdd,,src/theme.rs + src/components.rs::button,theme::tests + components::button_parity_tests + ui::component::w1_button_tests + parse_button_parity_demo,demos/ui-parity/button.cronus,migration/evidence/w-1/button/,FUNCTIONAL_PARITY,src/components.rs::button + layout:inline; 11 tests; visual screenshot pending
W0-INPUT,packages/ui,Input,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-LABEL,packages/ui,Label,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-BADGE,packages/ui,Badge,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-CARD,packages/ui,Card family,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-SEPARATOR,packages/ui,Separator,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-SKELETON,packages/ui,Skeleton,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-SPINNER,packages/ui,Spinner,component-foundation,,,,,,,,,,,,INVENTORIED,
W1-TEXTAREA,packages/ui,Textarea,component-forms,,,,,,,,,,,,INVENTORIED,
W1-CHECKBOX,packages/ui,Checkbox,component-forms,,,,,,,,,,,,INVENTORIED,
W1-SWITCH,packages/ui,Switch,component-forms,,,,,,,,,,,,INVENTORIED,
W1-RADIO,packages/ui,RadioGroup,component-forms,,,,,,,,,,,,INVENTORIED,
W1-SELECT,packages/ui,Select,component-forms,,,,,,,,,,,,INVENTORIED,
W1-SLIDER,packages/ui,Slider,component-forms,,,,,,,,,,,,INVENTORIED,
W1-TOGGLE,packages/ui,Toggle,component-forms,,,,,,,,,,,,INVENTORIED,
W1-TOGGLEGROUP,packages/ui,ToggleGroup,component-forms,,,,,,,,,,,,INVENTORIED,
W1-FIELD,packages/ui,Field,component-forms,,,,,,,,,,,,INVENTORIED,
W1-FORM,packages/ui,Form,component-forms,,,,,,,,,,,,INVENTORIED,
W1-OTP,packages/ui,InputOTP,component-forms,,,,,,,,,,,,INVENTORIED,
W1-FILEDROP,packages/ui,FileDropzone,component-forms,,,,,,,,,,,,INVENTORIED,
W2-DIALOG,packages/ui,Dialog,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-SHEET,packages/ui,Sheet,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-ALERTDIALOG,packages/ui,AlertDialog,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-DROPDOWN,packages/ui,DropdownMenu,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-POPOVER,packages/ui,Popover,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-HOVERCARD,packages/ui,HoverCard,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-TOOLTIP,packages/ui,Tooltip,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-TABS,packages/ui,Tabs,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-ACCORDION,packages/ui,Accordion,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-DRAWER,packages/ui,Drawer,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-TOAST,packages/ui,Toast,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-COMMAND,packages/ui,Command palette,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W3-TABLE,packages/ui,Table,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-DATATABLE,packages/ui,DataTable,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-PAGINATION,packages/ui,Pagination,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-AVATAR,packages/ui,Avatar,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-PROGRESS,packages/ui,Progress,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-SCROLL,packages/ui,ScrollArea,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-CALENDAR,packages/ui,Calendar,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-DATEPICKER,packages/ui,DatePicker,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-CHART,packages/ui,Chart,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-EMPTY,packages/ui,Empty,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-METRIC,packages/ui,Metric,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-KBD,packages/ui,Kbd,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-BREADCRUMB,packages/ui,Breadcrumb,component-data-display,,,,,,,,,,,,INVENTORIED,
